Date,Open,High,Low,Close,Tick Count,Volume
01/05/2024 14:30,182,184.11,181.732,183.3952,2555,1305549
01/05/2024 14:31,183.42,183.5509,182.11,182.1799,1420,380497
01/05/2024 14:32,182.13,182.84,181.88,182.67,1490,346146
01/05/2024 14:33,182.67,183.16,181.56,181.58,1290,327344
01/05/2024 14:34,181.5777,181.5777,180.52,180.63,1912,511523
01/05/2024 14:35,180.635,183.36,180.42,183.17,1921,481867
01/05/2024 14:36,183.09,183.5,182.63,182.68,1643,539801
01/05/2024 14:37,182.69,182.94,182.1,182.35,1127,278960
01/05/2024 14:38,182.3549,182.6299,181.86,182,1182,305531
01/05/2024 14:39,182.03,182.67,181.6301,181.94,1268,331962
01/05/2024 14:40,181.93,182.6,181.82,182.29,916,265038
01/05/2024 14:41,182.28,182.6322,181.83,182.53,864,249226
01/05/2024 14:42,182.57,182.93,181.96,182.145,1223,453341
01/05/2024 14:43,182.1888,182.3,181.4128,181.45,1072,307729
01/05/2024 14:44,181.42,182.1,181.35,181.93,786,223154
01/05/2024 14:45,181.9385,182.2999,181.4031,181.852,934,271964
01/05/2024 14:46,181.83,181.98,181.42,181.86,968,220077
01/05/2024 14:47,181.8151,182.58,181.66,182.14,1216,316511
01/05/2024 14:48,182.14,182.5151,181.64,182.04,801,228434
01/05/2024 14:49,182.04,182.41,181.7,182.2,853,216606
01/05/2024 14:50,182.2,182.7058,182.16,182.4257,1052,287771
01/05/2024 14:51,182.44,183.19,182.25,183.1267,1211,352095
01/05/2024 14:52,183.17,183.17,182.5301,182.7199,875,220710
01/05/2024 14:53,182.675,183.14,182.675,183.0402,727,202723
01/05/2024 14:54,183.065,183.2967,182.63,182.7728,1267,340944
01/05/2024 14:55,182.73,183.47,182.71,183.37,1013,291542
01/05/2024 14:56,183.42,183.85,183.42,183.735,1238,373321
01/05/2024 14:57,183.76,183.7796,183.26,183.4975,945,247269
01/05/2024 14:58,183.52,183.59,182.84,182.9,959,305386
